full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
LeBron James,97,#23,Los Angeles Lakers,F,12/30/84,2.06,113.4,37436858.0,USA,2003,1,1,
Kawhi Leonard,97,#2,Los Angeles Clippers,F,06/29/91,2.01,102.1,32742000.0,USA,2011,1,15,San Diego State
Kevin Durant,96,#7,Brooklyn Nets,F,09/29/88,2.08,104.3,37199000.0,USA,2007,1,2,Texas
James Harden,96,#13,Houston Rockets,G,08/26/89,1.96,99.8,38199000.0,USA,2009,1,3,Arizona State
Stephen Curry,95,#30,Golden State Warriors,G,03/14/88,1.91,83.9,40231758.0,USA,2009,1,7,Davidson
Paul George,93,#13,Los Angeles Clippers,F,05/02/90,2.03,95.3,33005556.0,USA,2010,1,10,Fresno State
Damian Lillard,92,#0,Portland Trail Blazers,G,07/15/90,1.88,88.5,29802321.0,USA,2012,1,6,Weber State
Kyrie Irving,91,#11,Brooklyn Nets,G,03/23/92,1.88,81.6,31742000.0,Australia,2011,1,1,Duke
Russell Westbrook,90,#0,Houston Rockets,G,11/12/88,1.91,86.2,38506482.0,USA,2008,1,4,UCLA
Klay Thompson,89,#11,Golden State Warriors,G,02/08/90,1.98,93.0,32742000.0,USA,2011,1,11,Washington State
Jimmy Butler,88,#22,Miami Heat,G,09/14/89,2.01,99.8,32742000.0,USA,2011,1,30,Marquette
Blake Griffin,88,#23,Detroit Pistons,F,03/16/89,2.06,114.3,34449964.0,USA,2009,1,1,Oklahoma
Donovan Mitchell,88,#45,Utah Jazz,G,09/07/96,1.85,95.7,3635760.0,USA,2017,1,13,Louisville
Kemba Walker,88,#8,Boston Celtics,G,05/08/90,1.83,78.0,32742000.0,USA,2011,1,9,UConn
Bradley Beal,87,#3,Washington Wizards,G,06/28/93,1.91,93.9,27093018.0,USA,2012,1,3,Florida
Mike Conley,87,#10,Utah Jazz,G,10/11/87,1.85,83.9,32511623.0,USA,2007,1,4,Ohio State
CJ McCollum,87,#3,Portland Trail Blazers,G,09/19/91,1.91,89.4,27556959.0,USA,2013,1,10,Lehigh
Victor Oladipo,87,#4,Indiana Pacers,G,05/04/92,1.93,96.6,21000000.0,USA,2013,1,2,Indiana
D'Angelo Russell,87,#0,Minnesota Timberwolves,G,02/23/96,1.93,87.5,27285000.0,USA,2015,1,2,Ohio State
Pascal Siakam,87,#43,Toronto Raptors,F,04/02/94,2.06,103.0,2351838.0,Cameroon,2016,1,27,New Mexico State
Ben Simmons,87,#25,Philadelphia 76ers,F,07/20/96,2.08,108.9,8113929.0,Australia,2016,1,1,LSU
De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/97,1.91,77.6,6392760.0,USA,2017,1,5,Kentucky
Devin Booker,86,#1,Phoenix Suns,G,10/30/96,1.96,93.4,27285000.0,USA,2015,1,13,Kentucky
Draymond Green,86,#23,Golden State Warriors,F,03/04/90,1.98,104.3,18539130.0,USA,2012,2,35,Michigan State
Jrue Holiday,86,#11,New Orleans Pelicans,G,06/12/90,1.91,81.6,26131111.0,USA,2009,1,17,UCLA
John Wall,86,#2,Washington Wizards,G,09/06/90,1.93,88.5,38199000.0,USA,2010,1,1,Kentucky
Jayson Tatum,85,#0,Boston Celtics,F,03/03/98,2.03,92.5,7830000.0,USA,2017,1,3,Duke
Trae Young,85,#11,Atlanta Hawks,G,09/19/98,1.85,81.6,6273000.0,USA,2018,1,5,Oklahoma
Eric Bledsoe,85,#6,Milwaukee Bucks,G,12/09/89,1.85,88.5,15625000.0,USA,2010,1,18,Kentucky
Tobias Harris,85,#12,Philadelphia 76ers,F,07/15/92,2.03,102.5,32742000.0,USA,2011,1,19,Tennessee
Zach LaVine,85,#8,Chicago Bulls,G,03/10/95,1.98,82.1,19500000.0,USA,2014,1,13,UCLA
Kyle Lowry,85,#7,Toronto Raptors,G,03/25/86,1.83,93.0,33296296.0,USA,2006,1,24,Villanova
Khris Middleton,85,#22,Milwaukee Bucks,F,08/12/91,2.01,98.4,30603448.0,USA,2012,2,39,Texas A&M
Chris Paul,85,#3,Oklahoma City Thunder,G,05/06/85,1.85,79.4,38506482.0,USA,2005,1,4,Wake Forest
John Collins,84,#20,Atlanta Hawks,F,09/23/97,2.06,102.1,2686560.0,USA,2017,1,19,Wake Forest
Buddy Hield,84,#24,Sacramento Kings,G,12/17/93,1.93,96.2,4861207.0,The Bahamas,2016,1,6,Oklahoma
Kyle Kuzma,84,#0,Los Angeles Lakers,F,07/24/95,2.03,100.2,1974600.0,USA,2017,1,27,Utah
Jamal Murray,84,#27,Denver Nuggets,G,02/23/97,1.93,91.2,4444746.0,Canada,2016,1,7,Kentucky
Louis Williams,84,#23,Los Angeles Clippers,G,10/27/86,1.85,79.4,8000000.0,USA,2005,2,45,
Marvin Bagley,83,#35,Sacramento Kings,F,03/14/99,2.11,106.6,8556120.0,USA,2018,1,2,Duke
Malcolm Brogdon,83,#7,Indiana Pacers,G,12/11/92,1.96,101.2,20000000.0,USA,2016,2,36,Virginia
Danilo Gallinari,83,#8,Oklahoma City Thunder,F,08/08/88,2.08,102.1,22615559.0,Italy,2008,1,6,
Montrezl Harrell,83,#5,Los Angeles Clippers,F,01/26/94,2.01,114.8,6000000.0,USA,2015,2,32,Louisville
Kevin Love,83,#0,Cleveland Cavaliers,F,09/07/88,2.03,117.9,28942830.0,USA,2008,1,5,UCLA
Julius Randle,83,#30,New York Knicks,F,11/29/94,2.03,113.4,18000000.0,USA,2014,1,7,Kentucky
Spencer Dinwiddie,82,#8,Brooklyn Nets,G,04/06/93,1.96,93.0,10605600.0,USA,2014,2,38,Colorado
Marcus Smart,82,#36,Boston Celtics,G,03/06/94,1.91,103.0,12553571.0,USA,2014,1,6,Oklahoma State
Serge Ibaka,81,#9,Toronto Raptors,F,09/18/89,2.13,108.9,23271604.0,Spain,2008,1,24,
Zion Williamson,81,#1,New Orleans Pelicans,F,07/06/00,1.98,128.8,9757440.0,USA,2019,1,1,Duke
Rudy Gay,81,#22,San Antonio Spurs,F,08/17/86,2.03,104.3,14500000.0,USA,2006,1,8,UConn
Aaron Gordon,81,#0,Orlando Magic,F,09/16/95,2.03,99.8,19863636.0,USA,2014,1,4,Arizona
Brandon Ingram,81,#14,New Orleans Pelicans,F,09/02/97,2.01,88.9,7265485.0,USA,2016,1,2,Duke
Derrick Rose,80,#25,Detroit Pistons,G,10/04/88,1.88,86.2,7317074.0,USA,2008,1,1,Memphis
Derrick Favors,80,#22,New Orleans Pelicans,F,07/15/91,2.06,111.6,17650000.0,USA,2010,1,3,Georgia Tech
Gordon Hayward,80,#20,Boston Celtics,F,03/23/90,2.01,93.9,32700690.0,USA,2010,1,9,Butler
Reggie Jackson,80,#0,Los Angeles Clippers,G,04/16/90,1.91,94.3,17799677.0,USA,2011,1,24,Boston College
Otto Porter,80,#22,Chicago Bulls,F,06/03/93,2.03,89.8,27250576.0,USA,2013,1,2,Georgetown
JJ Redick,80,#4,New Orleans Pelicans,G,06/24/84,1.91,86.2,13486300.0,USA,2006,1,11,Duke
Josh Richardson,80,#0,Philadelphia 76ers,G,09/15/93,1.96,90.7,10116576.0,USA,2015,2,40,Tennessee
TJ Warren,80,#1,Indiana Pacers,F,09/05/93,2.03,99.8,11060000.0,USA,2014,1,14,NC State
Ja Morant,79,#12,Memphis Grizzlies,G,08/10/99,1.91,78.9,8730240.0,USA,2019,1,2,Murray State
Lonzo Ball,79,#2,New Orleans Pelicans,G,10/27/97,1.98,86.2,8719320.0,USA,2017,1,2,UCLA
Harrison Barnes,79,#40,Sacramento Kings,F,05/30/92,2.03,95.3,24147727.0,USA,2012,1,7,North Carolina
Patrick Beverley,79,#21,Los Angeles Clippers,G,07/12/88,1.85,81.6,12345680.0,USA,2009,2,42,Arkansas
Jaylen Brown,79,#7,Boston Celtics,F,10/24/96,1.98,101.2,6534829.0,USA,2016,1,3,California
Goran Dragic,79,#7,Miami Heat,G,05/06/86,1.91,86.2,19217900.0,Slovenia,2008,2,45,
Shai Gilgeous-Alexander,79,#2,Oklahoma City Thunder,G,07/12/98,1.96,81.6,3952920.0,Canada,2018,1,11,Kentucky
Gary Harris,79,#14,Denver Nuggets,G,09/14/94,1.93,93.0,17839286.0,USA,2014,1,19,Michigan State
Jeremy Lamb,79,#26,Indiana Pacers,G,05/30/92,1.96,81.6,10500000.0,USA,2012,1,12,UConn
Terrence Ross,79,#8,Orlando Magic,G,02/05/91,1.98,93.4,12500000.0,USA,2012,1,8,Washington
Tristan Thompson,79,#13,Cleveland Cavaliers,F,03/13/91,2.06,102.1,18539130.0,Canada,2011,1,4,Texas
PJ Tucker,79,#17,Houston Rockets,F,05/05/85,1.96,102.1,8349039.0,USA,2006,2,35,Texas
Andrew Wiggins,79,#22,Golden State Warriors,F,02/23/95,2.01,89.4,27504630.0,Canada,2014,1,1,Kansas
Thaddeus Young,79,#21,Chicago Bulls,F,06/21/88,2.03,99.8,12900000.0,USA,2007,1,12,Georgia Tech
RJ Barrett,78,#9,New York Knicks,G,06/14/00,1.98,91.6,7839960.0,Canada,2019,1,3,Duke
Ricky Rubio,78,#11,Phoenix Suns,G,10/21/90,1.91,81.6,16200000.0,Spain,2009,1,5,
Will Barton,78,#5,Denver Nuggets,G,01/06/91,1.96,79.4,12776786.0,USA,2012,2,40,Memphis
Bogdan Bogdanovic,78,#8,Sacramento Kings,G,08/18/92,1.98,93.0,8529386.0,Serbia,2014,1,27,
Jordan Clarkson,78,#8,Utah Jazz,G,06/07/92,1.93,84.4,13437500.0,Philippines,2014,2,46,Missouri
Evan Fournier,78,#10,Orlando Magic,G,10/29/92,2.01,86.2,17150000.0,France,2012,1,20,
Eric Gordon,78,#10,Houston Rockets,G,12/25/88,1.91,97.5,14057730.0,USA,2008,1,7,Indiana
Joe Harris,78,#12,Brooklyn Nets,G,09/06/91,1.98,97.5,7666667.0,USA,2014,2,33,Virginia
Caris LeVert,78,#22,Brooklyn Nets,G,08/25/94,1.98,86.6,2625717.0,USA,2016,1,20,Michigan
Marcus Morris,78,#0,Los Angeles Clippers,F,09/02/89,2.03,106.6,15000000.0,USA,2011,1,14,Kansas
Dejounte Murray,78,#5,San Antonio Spurs,G,09/19/96,1.93,77.1,2321735.0,USA,2016,1,29,Washington
Larry Nance Jr,78,#22,Cleveland Cavaliers,F,01/01/93,2.01,103.0,12727273.0,USA,2015,1,27,Wyoming
Jabari Parker,78,#0,Sacramento Kings,F,03/15/95,2.03,106.6,6500000.0,USA,2014,1,2,Duke
Terry Rozier,78,#3,Charlotte Hornets,G,03/17/94,1.85,86.2,19894737.0,USA,2015,1,16,Louisville
Dennis Schroeder,78,#17,Oklahoma City Thunder,G,09/15/93,1.85,78.0,15500000.0,Germany,2013,1,17,
Jeff Teague,78,#0,Atlanta Hawks,G,06/10/88,1.91,82.1,19000000.0,USA,2009,1,19,Wake Forest
Derrick White,78,#4,San Antonio Spurs,G,07/02/94,1.93,90.7,1948080.0,USA,2017,1,29,Colorado
Justise Winslow,78,#0,Memphis Grizzlies,F,03/26/96,1.98,100.7,13000000.0,USA,2015,1,10,Duke
Darius Garland,77,#10,Cleveland Cavaliers,G,06/26/00,1.85,79.4,6400920.0,USA,2019,1,5,Vanderbilt
De'Andre Hunter,77,#12,Atlanta Hawks,F,12/01/97,2.01,102.1,7068360.0,USA,2019,1,4,Virginia
