review,label
"The acting ensemble here is totally wasted. They walk through. I've never seen a really bad performance from Patrick Stewart until tonight, and while it's possible he was doing what was asked of him - the result is something between a train wreck and paint drying.<br /><br />The special effects are worse than can be believed in this day (I do better on my laptop, and I'm NOT a pro!). Certainly not as good as Harryhousen's version.<br /><br />Though certainly truer to Verne's book than previous versions I've seen, it's really not worth watching for three hours, even on 'free' TV. It might be good when edited to a 90 minute special.",unsup
"Yes, it might be not historically accurate(actually only 6 soldiers of 9th rota were killed there), and yes, it has some mistakes and exaggeration(bended machine gun? come on! or the that ""history lesson"" about how Afghanistan was never conquered by anyone - educated Russian officer would know history much better than that - take for example British campaign in Afghanistan). And yes, it does not have multi-million dollars Hollywood-style special effects, but it's strongest point in showing soldier's life there, their relationships and their feelings when the best friends are being killed in front of their eyes. In my opinion 9ya rota really does a good job showing all those things.<br /><br />Again, movie has it weaknesses, but, in my opinion, it appears to be one of the strongest Russian movie for the past few years.<br /><br />8/10",neg
"As films like ""Perdita Durango"" prove, Spanish director Ã?lex De La Iglesia is a specialist for macabre humor. One of his earlier films, ""El Dia De La Bestia"" aka. ""The Day Of The Beast"" of 1995 is a perfect example for this director's talent, a macabre and hilarious black horror comedy that entertains highly from the beginning to the end. A catholic priest (Ã?lex Angulo) goes to Madrid in order to prevent the birth of the Antichrist, which he believes to take place there on Christmas Day. In order to find the exact place where the Antichrist is to be born, the kind-hearted priest is forced to commit 'Sins', and furthermore associates with the surprisingly friendly Death-Meal lover and Satanist Jose Maria (Santiago Segura)... Angulo and Segura both fit very well in their roles, especially Angulo is very hilarious as the priest. Armando De Razza is furthermore great, and hilarious as Cavan, a hypocritical TV psychic. Director De La Iglesia did a great job making this film a hilarious Horror-comedy and still maintaining a dark and somehow gloomy atmosphere. If you like satirical Horror, make sure not to miss ""El Dia De La Bestia"", and enjoy 100 minutes of macabre humor and originality. Highly Recommended!",unsup
"This has to be the worst horror film ever, pathetic storyline, and the film looks like it's been cut by the uk censors. The film is 76 mins of rubbish, the thing in the cellar looks like it belongs in a 50's sci-fi film and is nothing like the cover for the film. An italian dubbed film with horrible acting and and cheesey script.<br /><br />The worst thing about it is now i own it!",unsup
"This was a very well written film about two young and quite brilliant children. They have a frantic mother and a somewhat aloof father. But the story ties them together well. If you are expecting this to be a simple film for the young,you will be disappointed. My children loved it. The mathematics and science are brilliantly weaved into this story of everything good and pure about us, or rather, what could be. E.T. for a new generation? It really could be. I have seen where some have said that children might be a bit bored with this movie. The theater I was in wasn't full of bored children. The children I saw were on the edge of their seats; as was I.",unsup
"What is ""Cry Freedom"" like? It is simply great and unique experience about making of South Africa and how black people in that country were repressed by white people. Main character of the story is Donald Woods (Kevin Kline), chief editor of the newspaper Daily Dispatch in South Africa. Woods writes several articles, where he speaks critically about views of Steve Biko (Denzel Washington). Soon Woods meets Biko and he changes his views about him and he also begins to understand what authorities are doing to black people in South Africa (right from the top, even from the chief of police). When Biko dies in police custody, Woods decides that he have to write book about him and that no matter what he has to publish it. But Woods must escape from his country to get that book published and he must also put his family on second place, so world can find out the truth.<br /><br />Attenborough managed to make a good movie about people, with main message that black and white are the same, cause we are all people. Story leads us to South Africa and this (movie) is great way for the whole world to learn what happened in that land and I'm disappointed that only 3200 people rated this movie. This is movie from which we all can learn something. Although it is a bit long, this story couldn't be presented in any shorter way because director wanted to show us how hard was for Woods to get that book published after death of Biko. <br /><br />Also relationship between Woods and Biko was shown great, just like families of those two people and all the problems they are going through. But sometimes sacrifices must be made (Biko's death) so the truth could be reveled (Woods book).",pos
"Yes as many have stated, by today's standards, the casting of this movie seems ridiculous, but please keep in mind the time period that this movie was made. All things considered, even with the period specific ""whites for ethnic minorities"" casting mentality, respect for a certain amount of cultural authenticity was in this movie to a greater degree than in previous films of this era, and so I feel that in that respect this movie was ground breaking and helped slowly pave the way for minorities to eventually take center stage in great theatrical releases. Most other films before and since (until the late 70's early 80's) stereotyped Asian characters as clownish and comical to an absolutely racist degree. Not so here. Robinson (although he did use some stereotyping) created a character who was not only mysterious, but both an anti-hero as well as deep & complex the likes of which would not be seen for a great long time after. His acting ability was amazing and truly well showcased here. He was able to show what really made his characters great and not just the mugging gangster stereotype that became so exaggerated over time. Often people forget what a true talent Robinson was, and if you need to know why... See this one if you ever get the chance!!!",unsup
"I love this movie! It's the one for Christmas Time and contemplative hours. Wonderful music, snow, a charming Joseph Brooks! The romantic song: ""If ever I See You Again"", which Bob Morrison once wrote for his first love Jennifer,leads you through the whole film.( I wonder whether this lovely song is available on CD?) Sometimes you think, that the uncharitable Jennifer is not good enough for Bob! But, in any case, keep your handkerchief ready!",unsup
"I really loved seeing this movie. I think it's a brilliant, underrated Alfred Hitchcock movie. Everyone is familiar with the famous Statue of Liberty scene, but there's a really great movie before that. Robert Cummings is great in what I consider to be his greatest role, and the beautiful Priscilla Lane shows that she has a lot of talent too. But I think Norman Lloyd gives the best performance. His character, Fry, is so evil and devious. Even though he's not in it for very long, the movie wouldn't be the same without him.<br /><br />""Saboteur"" is a great movie that every Hitchcock fan should see. I give it a 10 out of 10!!",pos
"First off, anyone looking for meaningful ""outcome oriented"" cinema that packs some sort of social message with meaningful performances and soul searching dialog spoken by dedicated, emotive, heartfelt thespians, please leave now. You are wasting your time and life is short, go see the new Brangelina Jolie movie, have a good cry, go out & buy a hybrid car or throw away your conflict diamonds if that will make you feel better, and leave us alone.<br /><br />Don't let the door hit you on the way out either. THE INCREDIBLE MELTING MAN is a grade B minus regional horror epic shot in the wastelands of Oklahoma by a young, TV friendly cast & crew, and concerns itself with an astronaut who is exposed to bizarre radiation effects, wakes up in a hospital, and finds that his body is liquefying on him as he sits there feeling like a chump. The melting man is played by one Alex Rebar, who is recognizable for about the first four minutes of the film. But once he starts oozin' with Rick Baker's extraordinary special effects makeup he more resembles something you might find in a tin of spam before you drain off all the runny, viscous blebs of grease.<br /><br />The film has zero exposition and does not bandy about with plot points: There are a couple of scenes involving scientist types riding around on an absurd industrial conveyor machine who dutifully recite a few obligatory lines about the effects of radiation but the movie does not care, really. It's a freak show and a marvelous one at that with a decidedly sick sense of humor for those who can stomach it -- One great laugh comes when the melting man stumbles upon a young girl in the forest and is so at a loss for what to do that one of his eyes pops out. Hilarious.<br /><br />The ""hero"" of the film is played by Burr DeBenning, a fascinating character actor from the golden 1970s & 80s television scene who was sort of an early model for the Kevin Spacey prototype; slightly twisted, neurotic, and one step ahead of most everyone in the room even if he looks confused. He appeared just after this movie was made in a bizarre made for TV anthology horror piece called HOUSE OF THE DEAD (or THE ALIEN ZONE) that is regarded as one of the finest movies ever made in Oklahoma, which is where I suspect this film was made as well. The arid, cold looking rural midwestern landscapes are certainly the same, and the creek that one unfortunate fly fisher chooses for his afternoon of sport appears to be the same one that Cameron Mitchell fought off flying alien pancakes in WITHOUT WARNING ... which also had a sick sense of humor, a TV friendly cast, and some pretty outrageous gore. I definitely sense at least an aesthetic connection between the three movies, as well as THE SILENCE OF THE LAMBS which is of no surprise considering that director Jonathan Demme is a part of MELTING MAN's cast.<br /><br />Essentially, as others have pointed out, this is a 1950s B movie plot updated for later 1970s era special effects & the inevitable boobs. The movie it probably borrows most of it's ideas from is PHANTOM FROM SPACE with Peter Graves as an astronaut who also returns to Earth after being exposed to funky radiation effects that set him off on a killing spree. One of the things that I actually admire about the film is that absolutely no regard is given for the melting man's motivations: He simply goes on a rampage and the movie's drama comes from wondering if he's going to fall to pieces before certain characters fall victim to his madness. The budget for the film is also delightfully low and every dime spent on it is up there on the screen, Rick Baker's disgusting effects getting the lion's share of whatever was spent on this.<br /><br />Sick, disgusting fun best enjoyed with a crowd of friends and plenty of beer. Why can't people have made more movies like these? <br /><br />8/10",pos
